,0,1
0,"  Lekki Phase 1, Lekki, Lagos","3,000,000"
1,"  Off Eko Street, Parkview Estate., Parkview, Ikoyi, Lagos","2,100,000"
2,"  Ikota, Lekki, Lagos","5,500,000"
3,"  Lekki Phase 1 Lekki, Lekki Phase 1, Lekki, Lagos","850,000"
4,"  Happyland Estate, Sangotedo, Lekki Expressway, Lekki, Lagos","1,400,000"
5,"  Bera Estate, Chevron Drive., Lekki Expressway, Lekki, Lagos","3,500,000"
6,"  Oral Estate By Chevron, Ikota, Lekki, Lagos","1,800,000"
7,"  Conservative By Chevron Toll Gate, Lafiaji, Lekki, Lagos","3,000,000"
8,"  Efab Queens Estate After Charlie Boy 6th Avenue, Gwarinpa, Abuja","500,000"
9,"  Neni Close P.w Kubwa, Kubwa, Abuja","600,000"
10,"  Osapa, Lekki, Lagos","850,000"
11,"  Hitech Estate Beside Lagos Business School, Olokonla, Ajah, Lagos","1,300,000"
12,"  Allen, Ikeja, Lagos","22,000"
13,"  Osapa London Estate Lekki Lagos, Osapa, Lekki, Lagos","1,000,000"
14,"  Lekki Phase 1, Lekki, Lagos","3,000,000"
15,"  Oral Estate, Lekki Expressway, Lekki, Lagos","1,600,000"
16,"  Ikota, Lekki, Lagos","1,600,000"
17,"  6th Ave, Gwarinpa, Abuja","300,000"
18,"  Lekki Phase 1, Lekki, Lagos","1,900,000"
19,"  Off Orchid Road, Lekki, Lagos","2,500,000"
20,"  Lekki Right, Lekki Phase 1, Lekki, Lagos","2,800,000"
21,"  Lekki Phase 1, Lekki, Lagos",₦
22,"  Off Eko Street, Parkview Estate., Parkview, Ikoyi, Lagos",₦
23,"  Ikota, Lekki, Lagos",₦
24,"  Lekki Phase 1 Lekki, Lekki Phase 1, Lekki, Lagos",₦
25,"  Happyland Estate, Sangotedo, Lekki Expressway, Lekki, Lagos",₦
26,"  Bera Estate, Chevron Drive., Lekki Expressway, Lekki, Lagos",₦
27,"  Oral Estate By Chevron, Ikota, Lekki, Lagos",₦
28,"  Conservative By Chevron Toll Gate, Lafiaji, Lekki, Lagos",₦
29,"  Efab Queens Estate After Charlie Boy 6th Avenue, Gwarinpa, Abuja",₦
30,"  Neni Close P.w Kubwa, Kubwa, Abuja",₦
31,"  Osapa, Lekki, Lagos",₦
32,"  Hitech Estate Beside Lagos Business School, Olokonla, Ajah, Lagos",₦
33,"  Allen, Ikeja, Lagos",₦
34,"  Osapa London Estate Lekki Lagos, Osapa, Lekki, Lagos",₦
35,"  Lekki Phase 1, Lekki, Lagos",₦
36,"  Oral Estate, Lekki Expressway, Lekki, Lagos",₦
37,"  Ikota, Lekki, Lagos",₦
38,"  6th Ave, Gwarinpa, Abuja",₦
